Game,Action RPG,Low Grind,Large Group,Co-op,Class/Race Options,Third-Person,Stat Builds,Modern (≤10 yrs)
Final Fantasy XIV,True,True,True,True,True,True,True,True
Guild Wars 2,True,True,True,True,True,True,True,True
Star Wars: The Old Republic,True,True,True,True,True,True,True,True
Elder Scrolls Online,True,True,True,True,True,True,True,True
Warframe,True,True,⚠️ (events only),True,False,True,⚠️ (events only),True
Destiny 2,True,True,False,True,False,⚠️ (some content),⚠️ (some content),True
Phantasy Star Online 2: NGS,True,True,True,True,True,True,True,True
Monster Hunter: World,True,True,⚠️ (hub of 16),True,True,True,True,True
World of Warcraft,True,False,True,True,True,True,True,True
Albion Online,True,⚠️ Moderate,True,True,⚠️ Gear-based roles,True,True,True
Minecraft Dungeons,True,True,False,True,False,True,⚠️ Light builds,True
Neverwinter,True,True,False,True,True,True,True,True
